month,total_orders,prev_month_orders,mom_growth_percent
2016-09,4,NULL,NULL
2016-10,324,4,8000.00
2016-12,1,324,-99.69
2017-01,800,1,79900.00
2017-02,1780,800,122.50
2017-03,2682,1780,50.67
2017-04,2404,2682,-10.37
2017-05,3700,2404,53.91
2017-06,3245,3700,-12.30
2017-07,4026,3245,24.07
2017-08,4331,4026,7.58
2017-09,4285,4331,-1.06
2017-10,4631,4285,8.07
2017-11,7544,4631,62.90
2017-12,5673,7544,-24.80
2018-01,7269,5673,28.13
2018-02,6728,7269,-7.44
2018-03,7211,6728,7.18
2018-04,6939,7211,-3.77
2018-05,6873,6939,-0.95
2018-06,6167,6873,-10.27
2018-07,6292,6167,2.03
2018-08,6512,6292,3.50
2018-09,16,6512,-99.75
2018-10,4,16,-75.00
