customer_state,order_month,total_orders
AC,2017-01-01 00:00:00,2
AC,2017-02-01 00:00:00,3
AC,2017-03-01 00:00:00,2
AC,2017-04-01 00:00:00,5
AC,2017-05-01 00:00:00,8
AC,2017-06-01 00:00:00,4
AC,2017-07-01 00:00:00,5
AC,2017-08-01 00:00:00,4
AC,2017-09-01 00:00:00,5
AC,2017-10-01 00:00:00,6
AC,2017-11-01 00:00:00,5
AC,2017-12-01 00:00:00,5
AC,2018-01-01 00:00:00,6
AC,2018-02-01 00:00:00,3
AC,2018-03-01 00:00:00,2
AC,2018-04-01 00:00:00,4
AC,2018-05-01 00:00:00,2
AC,2018-06-01 00:00:00,3
AC,2018-07-01 00:00:00,4
AC,2018-08-01 00:00:00,3
AL,2016-10-01 00:00:00,2
AL,2017-01-01 00:00:00,2
AL,2017-02-01 00:00:00,12
AL,2017-03-01 00:00:00,10
AL,2017-04-01 00:00:00,23
AL,2017-05-01 00:00:00,27
AL,2017-06-01 00:00:00,10
AL,2017-07-01 00:00:00,17
AL,2017-08-01 00:00:00,18
AL,2017-09-01 00:00:00,20
AL,2017-10-01 00:00:00,28
AL,2017-11-01 00:00:00,26
AL,2017-12-01 00:00:00,14
AL,2018-01-01 00:00:00,37
AL,2018-02-01 00:00:00,27
AL,2018-03-01 00:00:00,30
AL,2018-04-01 00:00:00,28
AL,2018-05-01 00:00:00,19
AL,2018-06-01 00:00:00,24
AL,2018-07-01 00:00:00,23
AL,2018-08-01 00:00:00,16
AM,2017-02-01 00:00:00,8
AM,2017-03-01 00:00:00,5
AM,2017-04-01 00:00:00,13
AM,2017-05-01 00:00:00,10
AM,2017-06-01 00:00:00,1
AM,2017-07-01 00:00:00,5
AM,2017-08-01 00:00:00,5
AM,2017-09-01 00:00:00,9
AM,2017-10-01 00:00:00,3
AM,2017-11-01 00:00:00,10
AM,2017-12-01 00:00:00,6
AM,2018-01-01 00:00:00,12
AM,2018-02-01 00:00:00,8
AM,2018-03-01 00:00:00,9
AM,2018-04-01 00:00:00,6
AM,2018-05-01 00:00:00,9
AM,2018-06-01 00:00:00,7
AM,2018-07-01 00:00:00,18
AM,2018-08-01 00:00:00,4
AP,2017-02-01 00:00:00,2
AP,2017-03-01 00:00:00,3
AP,2017-05-01 00:00:00,5
AP,2017-06-01 00:00:00,2
AP,2017-07-01 00:00:00,1
AP,2017-08-01 00:00:00,3
AP,2017-09-01 00:00:00,2
AP,2017-10-01 00:00:00,3
AP,2017-11-01 00:00:00,4
AP,2017-12-01 00:00:00,4
AP,2018-01-01 00:00:00,11
AP,2018-02-01 00:00:00,2
AP,2018-03-01 00:00:00,5
AP,2018-04-01 00:00:00,5
AP,2018-05-01 00:00:00,6
AP,2018-06-01 00:00:00,2
AP,2018-07-01 00:00:00,6
AP,2018-08-01 00:00:00,2
BA,2016-10-01 00:00:00,4
BA,2017-01-01 00:00:00,25
BA,2017-02-01 00:00:00,59
BA,2017-03-01 00:00:00,91
BA,2017-04-01 00:00:00,93
BA,2017-05-01 00:00:00,127
BA,2017-06-01 00:00:00,106
BA,2017-07-01 00:00:00,155
BA,2017-08-01 00:00:00,158
BA,2017-09-01 00:00:00,170
BA,2017-10-01 00:00:00,166
BA,2017-11-01 00:00:00,250
BA,2017-12-01 00:00:00,192
BA,2018-01-01 00:00:00,239
BA,2018-02-01 00:00:00,214
BA,2018-03-01 00:00:00,249
BA,2018-04-01 00:00:00,225
BA,2018-05-01 00:00:00,241
BA,2018-06-01 00:00:00,201
BA,2018-07-01 00:00:00,250
BA,2018-08-01 00:00:00,165
CE,2016-10-01 00:00:00,8
CE,2017-01-01 00:00:00,9
CE,2017-02-01 00:00:00,13
CE,2017-03-01 00:00:00,28
CE,2017-04-01 00:00:00,43
CE,2017-05-01 00:00:00,62
CE,2017-06-01 00:00:00,47
CE,2017-07-01 00:00:00,53
CE,2017-08-01 00:00:00,73
CE,2017-09-01 00:00:00,77
CE,2017-10-01 00:00:00,66
CE,2017-11-01 00:00:00,108
CE,2017-12-01 00:00:00,81
CE,2018-01-01 00:00:00,90
CE,2018-02-01 00:00:00,88
CE,2018-03-01 00:00:00,98
CE,2018-04-01 00:00:00,100
CE,2018-05-01 00:00:00,74
CE,2018-06-01 00:00:00,74
CE,2018-07-01 00:00:00,87
CE,2018-08-01 00:00:00,57
DF,2016-10-01 00:00:00,6
DF,2017-01-01 00:00:00,13
DF,2017-02-01 00:00:00,24
DF,2017-03-01 00:00:00,57
DF,2017-04-01 00:00:00,35
DF,2017-05-01 00:00:00,64
DF,2017-06-01 00:00:00,70
DF,2017-07-01 00:00:00,77
DF,2017-08-01 00:00:00,87
DF,2017-09-01 00:00:00,97
DF,2017-10-01 00:00:00,98
DF,2017-11-01 00:00:00,168
DF,2017-12-01 00:00:00,131
DF,2018-01-01 00:00:00,138
DF,2018-02-01 00:00:00,172
DF,2018-03-01 00:00:00,150
DF,2018-04-01 00:00:00,148
DF,2018-05-01 00:00:00,144
DF,2018-06-01 00:00:00,150
DF,2018-07-01 00:00:00,166
DF,2018-08-01 00:00:00,145
ES,2016-10-01 00:00:00,4
ES,2017-01-01 00:00:00,12
ES,2017-02-01 00:00:00,34
ES,2017-03-01 00:00:00,48
ES,2017-04-01 00:00:00,46
ES,2017-05-01 00:00:00,94
ES,2017-06-01 00:00:00,80
ES,2017-07-01 00:00:00,83
ES,2017-08-01 00:00:00,95
ES,2017-09-01 00:00:00,93
ES,2017-10-01 00:00:00,100
ES,2017-11-01 00:00:00,170
ES,2017-12-01 00:00:00,113
ES,2018-01-01 00:00:00,147
ES,2018-02-01 00:00:00,152
ES,2018-03-01 00:00:00,134
ES,2018-04-01 00:00:00,142
ES,2018-05-01 00:00:00,134
ES,2018-06-01 00:00:00,124
ES,2018-07-01 00:00:00,123
ES,2018-08-01 00:00:00,105
GO,2016-10-01 00:00:00,9
GO,2017-01-01 00:00:00,18
GO,2017-02-01 00:00:00,27
GO,2017-03-01 00:00:00,53
GO,2017-04-01 00:00:00,41
GO,2017-05-01 00:00:00,87
GO,2017-06-01 00:00:00,79
GO,2017-07-01 00:00:00,77
GO,2017-08-01 00:00:00,93
GO,2017-09-01 00:00:00,88
GO,2017-10-01 00:00:00,108
GO,2017-11-01 00:00:00,157
GO,2017-12-01 00:00:00,127
GO,2018-01-01 00:00:00,146
GO,2018-02-01 00:00:00,149
GO,2018-03-01 00:00:00,146
GO,2018-04-01 00:00:00,136
GO,2018-05-01 00:00:00,139
GO,2018-06-01 00:00:00,105
GO,2018-07-01 00:00:00,115
GO,2018-08-01 00:00:00,120
MA,2016-10-01 00:00:00,4
MA,2017-01-01 00:00:00,9
MA,2017-02-01 00:00:00,11
MA,2017-03-01 00:00:00,24
MA,2017-04-01 00:00:00,27
MA,2017-05-01 00:00:00,33
MA,2017-06-01 00:00:00,17
MA,2017-07-01 00:00:00,39
MA,2017-08-01 00:00:00,40
MA,2017-09-01 00:00:00,42
MA,2017-10-01 00:00:00,48
MA,2017-11-01 00:00:00,56
MA,2017-12-01 00:00:00,41
MA,2018-01-01 00:00:00,57
MA,2018-02-01 00:00:00,56
MA,2018-03-01 00:00:00,53
MA,2018-04-01 00:00:00,46
MA,2018-05-01 00:00:00,32
MA,2018-06-01 00:00:00,42
MA,2018-07-01 00:00:00,40
MA,2018-08-01 00:00:00,30
MG,2016-10-01 00:00:00,40
MG,2017-01-01 00:00:00,108
MG,2017-02-01 00:00:00,259
MG,2017-03-01 00:00:00,358
MG,2017-04-01 00:00:00,275
MG,2017-05-01 00:00:00,428
MG,2017-06-01 00:00:00,363
MG,2017-07-01 00:00:00,453
MG,2017-08-01 00:00:00,469
MG,2017-09-01 00:00:00,507
MG,2017-10-01 00:00:00,560
MG,2017-11-01 00:00:00,943
MG,2017-12-01 00:00:00,691
MG,2018-01-01 00:00:00,863
MG,2018-02-01 00:00:00,804
MG,2018-03-01 00:00:00,879
MG,2018-04-01 00:00:00,786
MG,2018-05-01 00:00:00,762
MG,2018-06-01 00:00:00,717
MG,2018-07-01 00:00:00,658
MG,2018-08-01 00:00:00,708
MG,2018-09-01 00:00:00,4
MS,2017-01-01 00:00:00,1
MS,2017-02-01 00:00:00,11
MS,2017-03-01 00:00:00,20
MS,2017-04-01 00:00:00,15
MS,2017-05-01 00:00:00,29
MS,2017-06-01 00:00:00,27
MS,2017-07-01 00:00:00,25
MS,2017-08-01 00:00:00,24
MS,2017-09-01 00:00:00,33
MS,2017-10-01 00:00:00,34
MS,2017-11-01 00:00:00,46
MS,2017-12-01 00:00:00,36
MS,2018-01-01 00:00:00,70
MS,2018-02-01 00:00:00,64
MS,2018-03-01 00:00:00,59
MS,2018-04-01 00:00:00,43
MS,2018-05-01 00:00:00,45
MS,2018-06-01 00:00:00,49
MS,2018-07-01 00:00:00,49
MS,2018-08-01 00:00:00,35
MT,2016-10-01 00:00:00,3
MT,2017-01-01 00:00:00,11
MT,2017-02-01 00:00:00,17
MT,2017-03-01 00:00:00,16
MT,2017-04-01 00:00:00,27
MT,2017-05-01 00:00:00,37
MT,2017-06-01 00:00:00,25
MT,2017-07-01 00:00:00,38
MT,2017-08-01 00:00:00,38
MT,2017-09-01 00:00:00,35
MT,2017-10-01 00:00:00,52
MT,2017-11-01 00:00:00,74
MT,2017-12-01 00:00:00,50
MT,2018-01-01 00:00:00,85
MT,2018-02-01 00:00:00,67
MT,2018-03-01 00:00:00,55
MT,2018-04-01 00:00:00,65
MT,2018-05-01 00:00:00,67
MT,2018-06-01 00:00:00,58
MT,2018-07-01 00:00:00,47
MT,2018-08-01 00:00:00,40
PA,2016-10-01 00:00:00,4
PA,2017-01-01 00:00:00,12
PA,2017-02-01 00:00:00,25
PA,2017-03-01 00:00:00,36
PA,2017-04-01 00:00:00,36
PA,2017-05-01 00:00:00,35
PA,2017-06-01 00:00:00,38
PA,2017-07-01 00:00:00,39
PA,2017-08-01 00:00:00,60
PA,2017-09-01 00:00:00,41
PA,2017-10-01 00:00:00,54
PA,2017-11-01 00:00:00,70
PA,2017-12-01 00:00:00,58
PA,2018-01-01 00:00:00,70
PA,2018-02-01 00:00:00,58
PA,2018-03-01 00:00:00,73
PA,2018-04-01 00:00:00,71
PA,2018-05-01 00:00:00,40
PA,2018-06-01 00:00:00,54
PA,2018-07-01 00:00:00,57
PA,2018-08-01 00:00:00,44
PB,2016-10-01 00:00:00,1
PB,2017-01-01 00:00:00,2
PB,2017-02-01 00:00:00,12
PB,2017-03-01 00:00:00,16
PB,2017-04-01 00:00:00,20
PB,2017-05-01 00:00:00,18
PB,2017-06-01 00:00:00,23
PB,2017-07-01 00:00:00,27
PB,2017-08-01 00:00:00,16
PB,2017-09-01 00:00:00,29
PB,2017-10-01 00:00:00,30
PB,2017-11-01 00:00:00,30
PB,2017-12-01 00:00:00,37
PB,2018-01-01 00:00:00,31
PB,2018-02-01 00:00:00,35
PB,2018-03-01 00:00:00,39
PB,2018-04-01 00:00:00,31
PB,2018-05-01 00:00:00,29
PB,2018-06-01 00:00:00,28
PB,2018-07-01 00:00:00,52
PB,2018-08-01 00:00:00,30
PE,2016-10-01 00:00:00,7
PE,2017-01-01 00:00:00,9
PE,2017-02-01 00:00:00,21
PE,2017-03-01 00:00:00,45
PE,2017-04-01 00:00:00,40
PE,2017-05-01 00:00:00,68
PE,2017-06-01 00:00:00,46
PE,2017-07-01 00:00:00,73
PE,2017-08-01 00:00:00,85
PE,2017-09-01 00:00:00,76
PE,2017-10-01 00:00:00,80
PE,2017-11-01 00:00:00,126
PE,2017-12-01 00:00:00,103
PE,2018-01-01 00:00:00,104
PE,2018-02-01 00:00:00,125
PE,2018-03-01 00:00:00,108
PE,2018-04-01 00:00:00,114
PE,2018-05-01 00:00:00,106
PE,2018-06-01 00:00:00,94
PE,2018-07-01 00:00:00,137
PE,2018-08-01 00:00:00,85
PI,2016-10-01 00:00:00,1
PI,2017-01-01 00:00:00,7
PI,2017-02-01 00:00:00,12
PI,2017-03-01 00:00:00,13
PI,2017-04-01 00:00:00,13
PI,2017-05-01 00:00:00,25
PI,2017-06-01 00:00:00,14
PI,2017-07-01 00:00:00,20
PI,2017-08-01 00:00:00,22
PI,2017-09-01 00:00:00,23
PI,2017-10-01 00:00:00,23
PI,2017-11-01 00:00:00,31
PI,2017-12-01 00:00:00,23
PI,2018-01-01 00:00:00,48
PI,2018-02-01 00:00:00,34
PI,2018-03-01 00:00:00,35
PI,2018-04-01 00:00:00,37
PI,2018-05-01 00:00:00,31
PI,2018-06-01 00:00:00,29
PI,2018-07-01 00:00:00,32
PI,2018-08-01 00:00:00,21
PI,2018-10-01 00:00:00,1
PR,2016-10-01 00:00:00,19
PR,2016-12-01 00:00:00,1
PR,2017-01-01 00:00:00,65
PR,2017-02-01 00:00:00,118
PR,2017-03-01 00:00:00,127
PR,2017-04-01 00:00:00,114
PR,2017-05-01 00:00:00,213
PR,2017-06-01 00:00:00,170
PR,2017-07-01 00:00:00,203
PR,2017-08-01 00:00:00,223
PR,2017-09-01 00:00:00,183
PR,2017-10-01 00:00:00,206
PR,2017-11-01 00:00:00,378
PR,2017-12-01 00:00:00,270
PR,2018-01-01 00:00:00,378
PR,2018-02-01 00:00:00,342
PR,2018-03-01 00:00:00,377
PR,2018-04-01 00:00:00,386
PR,2018-05-01 00:00:00,311
PR,2018-06-01 00:00:00,308
PR,2018-07-01 00:00:00,320
PR,2018-08-01 00:00:00,333
RJ,2016-10-01 00:00:00,56
RJ,2017-01-01 00:00:00,97
RJ,2017-02-01 00:00:00,254
RJ,2017-03-01 00:00:00,395
RJ,2017-04-01 00:00:00,338
RJ,2017-05-01 00:00:00,488
RJ,2017-06-01 00:00:00,412
RJ,2017-07-01 00:00:00,571
RJ,2017-08-01 00:00:00,562
RJ,2017-09-01 00:00:00,609
RJ,2017-10-01 00:00:00,668
RJ,2017-11-01 00:00:00,1048
RJ,2017-12-01 00:00:00,783
RJ,2018-01-01 00:00:00,893
RJ,2018-02-01 00:00:00,922
RJ,2018-03-01 00:00:00,907
RJ,2018-04-01 00:00:00,834
RJ,2018-05-01 00:00:00,833
RJ,2018-06-01 00:00:00,716
RJ,2018-07-01 00:00:00,717
RJ,2018-08-01 00:00:00,745
RJ,2018-09-01 00:00:00,3
RJ,2018-10-01 00:00:00,1
RN,2016-10-01 00:00:00,4
RN,2017-01-01 00:00:00,5
RN,2017-02-01 00:00:00,8
RN,2017-03-01 00:00:00,13
RN,2017-04-01 00:00:00,10
RN,2017-05-01 00:00:00,17
RN,2017-06-01 00:00:00,13
RN,2017-07-01 00:00:00,27
RN,2017-08-01 00:00:00,20
RN,2017-09-01 00:00:00,24
RN,2017-10-01 00:00:00,23
RN,2017-11-01 00:00:00,44
RN,2017-12-01 00:00:00,30
RN,2018-01-01 00:00:00,46
RN,2018-02-01 00:00:00,23
RN,2018-03-01 00:00:00,39
RN,2018-04-01 00:00:00,32
RN,2018-05-01 00:00:00,22
RN,2018-06-01 00:00:00,36
RN,2018-07-01 00:00:00,29
RN,2018-08-01 00:00:00,20
RO,2017-01-01 00:00:00,3
RO,2017-02-01 00:00:00,11
RO,2017-03-01 00:00:00,16
RO,2017-04-01 00:00:00,9
RO,2017-05-01 00:00:00,9
RO,2017-06-01 00:00:00,10
RO,2017-07-01 00:00:00,11
RO,2017-08-01 00:00:00,14
RO,2017-09-01 00:00:00,16
RO,2017-10-01 00:00:00,14
RO,2017-11-01 00:00:00,17
RO,2017-12-01 00:00:00,11
RO,2018-01-01 00:00:00,20
RO,2018-02-01 00:00:00,14
RO,2018-03-01 00:00:00,13
RO,2018-04-01 00:00:00,11
RO,2018-05-01 00:00:00,17
RO,2018-06-01 00:00:00,12
RO,2018-07-01 00:00:00,16
RO,2018-08-01 00:00:00,9
RR,2016-09-01 00:00:00,1
RR,2016-10-01 00:00:00,1
RR,2017-02-01 00:00:00,2
RR,2017-03-01 00:00:00,2
RR,2017-04-01 00:00:00,2
RR,2017-05-01 00:00:00,2
RR,2017-06-01 00:00:00,3
RR,2017-07-01 00:00:00,1
RR,2017-09-01 00:00:00,1
RR,2017-10-01 00:00:00,3
RR,2017-11-01 00:00:00,2
RR,2018-01-01 00:00:00,2
RR,2018-02-01 00:00:00,5
RR,2018-03-01 00:00:00,6
RR,2018-04-01 00:00:00,2
RR,2018-05-01 00:00:00,1
RR,2018-06-01 00:00:00,5
RR,2018-07-01 00:00:00,5
RS,2016-09-01 00:00:00,1
RS,2016-10-01 00:00:00,24
RS,2017-01-01 00:00:00,54
RS,2017-02-01 00:00:00,105
RS,2017-03-01 00:00:00,151
RS,2017-04-01 00:00:00,139
RS,2017-05-01 00:00:00,208
RS,2017-06-01 00:00:00,221
RS,2017-07-01 00:00:00,249
RS,2017-08-01 00:00:00,299
RS,2017-09-01 00:00:00,278
RS,2017-10-01 00:00:00,252
RS,2017-11-01 00:00:00,422
RS,2017-12-01 00:00:00,283
RS,2018-01-01 00:00:00,373
RS,2018-02-01 00:00:00,368
RS,2018-03-01 00:00:00,418
RS,2018-04-01 00:00:00,349
RS,2018-05-01 00:00:00,351
RS,2018-06-01 00:00:00,305
RS,2018-07-01 00:00:00,316
RS,2018-08-01 00:00:00,300
SC,2016-10-01 00:00:00,11
SC,2017-01-01 00:00:00,31
SC,2017-02-01 00:00:00,59
SC,2017-03-01 00:00:00,110
SC,2017-04-01 00:00:00,105
SC,2017-05-01 00:00:00,152
SC,2017-06-01 00:00:00,116
SC,2017-07-01 00:00:00,158
SC,2017-08-01 00:00:00,159
SC,2017-09-01 00:00:00,156
SC,2017-10-01 00:00:00,178
SC,2017-11-01 00:00:00,303
SC,2017-12-01 00:00:00,193
SC,2018-01-01 00:00:00,314
SC,2018-02-01 00:00:00,257
SC,2018-03-01 00:00:00,252
SC,2018-04-01 00:00:00,246
SC,2018-05-01 00:00:00,227
SC,2018-06-01 00:00:00,205
SC,2018-07-01 00:00:00,198
SC,2018-08-01 00:00:00,206
SC,2018-09-01 00:00:00,1
SE,2016-10-01 00:00:00,3
SE,2017-01-01 00:00:00,4
SE,2017-02-01 00:00:00,12
SE,2017-03-01 00:00:00,25
SE,2017-04-01 00:00:00,13
