customer_state,customer_city,total_customers
AC,rio branco,70
AC,cruzeiro do sul,3
AC,xapuri,2
AC,senador guiomard,2
AC,epitaciolandia,1
AC,manoel urbano,1
AC,porto acre,1
AC,brasileia,1
AL,maceio,247
AL,arapiraca,29
AL,teotonio vilela,8
AL,penedo,8
AL,palmeira dos indios,8
AL,rio largo,6
AL,maragogi,5
AL,delmiro gouveia,4
AL,belem,3
AL,pilar,3
AL,coruripe,3
AL,santana do mundau,3
AL,olho d'agua das flores,3
AL,batalha,3
AL,colonia leopoldina,2
AL,porto calvo,2
AL,anadia,2
AL,barra de sao miguel,2
AL,sao miguel dos campos,2
AL,igreja nova,2
AL,mar vermelho,2
AL,campo alegre,2
AL,jequia da praia,2
AL,uniao dos palmares,2
AL,sao jose da laje,2
AL,tanque d'arca,2
AL,igaci,2
AL,ibateguara,2
AL,junqueiro,2
AL,sao luis do quitunde,2
AL,piacabucu,2
AL,mata grande,2
AL,inhapi,2
AL,paulo jacinto,2
AL,maravilha,2
AL,feliz deserto,2
AL,pindoba,2
AL,satuba,2
AL,boca da mata,2
AL,barra de santo antonio,2
AL,murici,1
AL,passo de camaragibe,1
AL,cajueiro,1
AL,novo lino,1
AL,coite do noia,1
AL,monteiropolis,1
AL,girau do ponciano,1
AL,sao bras,1
AL,marechal deodoro,1
AL,santana do ipanema,1
AL,sao sebastiao,1
AL,canapi,1
AL,dois riachos,1
AL,matriz de camaragibe,1
AL,sao jose da tapera,1
AL,porto de pedras,1
AL,vicosa,1
AL,cacimbinhas,1
AL,atalaia,1
AL,paripueira,1
AL,pau d'arco,1
AL,agua branca,1
AL,luziapolis,1
AL,taquarana,1
AL,lagoa da canoa,1
AL,santa luzia do norte,1
AL,traipu,1
AL,maribondo,1
AM,manaus,140
AM,humaita,4
AM,urucurituba,2
AM,coari,1
AM,itacoatiara,1
AP,macapa,54
AP,santana,9
AP,laranjal do jari,2
AP,oiapoque,1
AP,porto grande,1
AP,vitoria do jari,1
BA,salvador,1245
BA,feira de santana,185
BA,vitoria da conquista,92
BA,lauro de freitas,75
BA,ilheus,72
BA,itabuna,62
BA,camacari,61
BA,barreiras,52
BA,juazeiro,44
BA,porto seguro,41
BA,alagoinhas,40
BA,paulo afonso,40
BA,guanambi,38
BA,eunapolis,38
BA,luis eduardo magalhaes,36
BA,jequie,36
BA,valenca,35
BA,santo antonio de jesus,30
BA,teixeira de freitas,29
BA,jacobina,24
BA,dias d'avila,24
BA,brumado,22
BA,simoes filho,21
BA,senhor do bonfim,19
BA,itapetinga,18
BA,cruz das almas,18
BA,serrinha,15
BA,santa maria da vitoria,13
BA,pojuca,13
