customer_state,total_orders,total_freight_value,avg_freight_value
SP,41375,718723.07,17.37
RJ,12762,305589.31,23.95
MG,11544,270853.46,23.46
RS,5432,135522.74,24.95
PR,4998,117851.68,23.58
BA,3358,100156.68,29.83
SC,3612,89660.26,24.82
PE,1648,59449.66,36.07
GO,2007,53114.98,26.46
DF,2125,50625.50,23.82
ES,2025,49764.60,24.58
CE,1327,48351.59,36.44
PA,970,38699.30,39.90
MA,740,31523.77,42.60
MT,903,29715.43,32.91
PB,532,25719.73,48.35
PI,493,21218.20,43.04
MS,709,19144.03,27.00
RN,482,18860.10,39.13
AL,411,15914.59,38.72
SE,345,14111.47,40.90
TO,279,11732.68,42.05
RO,247,11417.38,46.22
AM,147,5478.89,37.27
AC,81,3686.75,45.52
AP,68,2788.50,41.01
RR,46,2235.19,48.59
