customer_state,total_orders,total_order_value,avg_order_value
AC,81,19680.62,242.97
AL,413,96962.06,234.77
AM,148,27966.93,188.97
AP,68,16262.8,239.16
BA,3380,616645.82,182.44
CE,1336,279464.03,209.18
DF,2140,355141.08,165.95
ES,2033,325967.55,160.34
GO,2020,350092.31,173.31
MA,747,152523.02,204.18
MG,11635,1872257.26,160.92
MS,715,137534.84,192.36
MT,907,187029.29,206.21
PA,975,218295.85,223.89
PB,536,141545.72,264.08
PE,1652,324850.44,196.64
PI,495,108523.97,219.24
PR,5045,811156.38,160.78
RJ,12852,2144379.69,166.85
RN,485,102718.13,211.79
RO,253,60866.2,240.58
RR,46,10064.62,218.8
RS,5466,890898.54,162.99
SC,3637,623086.43,171.32
SE,350,75246.25,214.99
SP,41745,5998226.96,143.69
TO,280,61485.33,219.59
