order_id,time_to_deliver_days,diff_estimated_delivery_days
e481f51c-bdc5-4678-b7cc-49136f2d6af7,8,-8
53cdb2fc-8bc7-dce0-b674-1e2150273451,14,-6
47770eb9-100c-2d0c-4494-6d9cf07ec65d,9,-18
949d5b44-dbf5-de91-8fe9-c16f97b45f8a,14,-13
ad21c59c-0840-e6cb-83a9-ceb5573f8159,3,-10
a4591c26-5e18-cb1d-cee5-2889e2d8acc3,17,-6
6514b8ad-8028-c9f2-cc23-74ded245783f,10,-12
76c6e866-2893-21a7-c93b-82b54852dc33,10,-32
e69bfb5e-b88e-0ed6-a785-585b27e16dbf,18,-7
e6ce16cb-79ec-1d90-b1da-9085a6118aeb,13,-9
34513ce0-c4fa-b462-a558-30c0989c7edb,6,-20
82566a66-0a98-2b15-fb86-e904c8d32918,12,-29
5ff96c15-d0b7-17ac-6ad1-f3d77225a350,5,-9
432aaf21-d851-67c2-c86e-c9448c4e42cc,11,-9
dcb36b51-1fca-c050-b97c-d5c05de84dc3,14,-13
403b9783-6b0c-04a6-2235-4cf531062e5f,18,-17
116f0b09-343b-4955-6bba-d5f35bee0cdf,13,-21
85ce859f-d6dc-634d-e8d2-f1e290444043,6,-14
83018ec1-14ee-e864-1c97-e08f7b4e926f,13,-15
203096f0-3d82-e0df-fbc4-1ebc2e2bcfb7,21,11
f848643e-ec1d-6939-5095-eb3840d2051e,4,-10
2807d0e5-04d6-d489-4d41-672727bc139f,5,-13
95266dbf-b7e2-0354-baba-07964dac78d5,18,-26
f3e7c359-154d-9658-2735-5f39d6b1fdac,4,-4
fbf9ac61-453a-c646-ce8a-d9783d7d0af6,29,9
acce1948-5639-2f07-4dbf-9dada14d8d82,12,-32
dd78f560-c270-f190-9639-c11b925620ea,9,-7
91b2a010-e1e4-5e6b-a3d1-33fa997597be,14,-7
ecab90c9-933c-5890-8d3d-6add7c6f5ae3,30,-17
f70a0aff-17df-5a6c-dd9a-7196128bd354,8,-5
1790eea0-b567-cf50-911c-057cf20f90f9,19,-10
989225ba-6d0e-bd58-7333-5f7e01de2ae7,22,-5
d887b52c-6516-beb3-9e8c-d44a5f8b60f7,19,-13
b276e4f8-c0fb-86bd-82fc-e576f21713e0,2,-6
8563039e-8551-56e4-8fcc-ee4d611a3196,31,0
60550084-e6b4-c0cb-89a8-7df1f3e5ebd9,20,-16
5acce57f-8d9d-fd55-fa48-e212a641a69d,8,-14
434d158e-96bd-d697-2ad6-e6d73ddcfd22,17,-29
7206b86e-a789-983f-7a27-3ea7fa0bc2a8,10,-7
1e7aff52-cdbb-2451-ace0-9d0f848c3699,12,-12
6ea2f835-b455-6291-ffdc-53fa0b3b95e8,34,7
948097de-ef55-9c74-2e7c-e321e5e58919,8,-20
d22e9fa5-731b-9e30-e8b2-7afcdc2f8563,9,-31
6ebaec69-4d70-25e2-ad4a-05dba887c032,11,-11
d17dc4a9-0442-6827-ca80-f2ccb3a6be56,11,-18
25f43769-34e1-3d35-0848-6352e11a5db0,4,-4
5820a110-0976-432c-7968-a52da59e9364,4,-11
2ce1ad82-022c-1ba3-0c20-79502ac725aa,7,-15
138849fd-84df-f2fb-4ca7-0a0a34c4aa1c,13,-9
47aa4816-b27b-a60e-c948-cd019cc1afc1,7,-17
9faeb9b2-746b-9d75-26ae-f5acb08e2aa0,5,-16
641fb075-2bf5-b594-0c37-6b3a8bb9dc52,19,-13
e425680f-760c-bc13-0be3-e53a9773c584,4,-16
40c5e18f-7d11-2b59-b3e5-113a59a905b3,8,-27
734e7d1b-baeb-2ff8-2521-ca0fe6fb6f79,3,-21
