payment_type,order_month,order_count,mom_change
credit_card,2016-09-01 00:00:00,3,
credit_card,2016-10-01 00:00:00,253,250.0
credit_card,2016-12-01 00:00:00,1,-252.0
credit_card,2017-01-01 00:00:00,582,581.0
credit_card,2017-02-01 00:00:00,1347,765.0
credit_card,2017-03-01 00:00:00,2008,661.0
credit_card,2017-04-01 00:00:00,1835,-173.0
credit_card,2017-05-01 00:00:00,2833,998.0
credit_card,2017-06-01 00:00:00,2452,-381.0
credit_card,2017-07-01 00:00:00,3072,620.0
credit_card,2017-08-01 00:00:00,3272,200.0
credit_card,2017-09-01 00:00:00,3274,2.0
credit_card,2017-10-01 00:00:00,3510,236.0
credit_card,2017-11-01 00:00:00,5867,2357.0
credit_card,2017-12-01 00:00:00,4363,-1504.0
credit_card,2018-01-01 00:00:00,5511,1148.0
credit_card,2018-02-01 00:00:00,5235,-276.0
credit_card,2018-03-01 00:00:00,5674,439.0
credit_card,2018-04-01 00:00:00,5441,-233.0
credit_card,2018-05-01 00:00:00,5475,34.0
credit_card,2018-06-01 00:00:00,4796,-679.0
credit_card,2018-07-01 00:00:00,4738,-58.0
credit_card,2018-08-01 00:00:00,4963,225.0
debit_card,2016-10-01 00:00:00,2,
debit_card,2017-01-01 00:00:00,9,7.0
debit_card,2017-02-01 00:00:00,13,4.0
debit_card,2017-03-01 00:00:00,31,18.0
debit_card,2017-04-01 00:00:00,27,-4.0
debit_card,2017-05-01 00:00:00,30,3.0
debit_card,2017-06-01 00:00:00,27,-3.0
debit_card,2017-07-01 00:00:00,22,-5.0
debit_card,2017-08-01 00:00:00,34,12.0
debit_card,2017-09-01 00:00:00,43,9.0
debit_card,2017-10-01 00:00:00,52,9.0
debit_card,2017-11-01 00:00:00,70,18.0
debit_card,2017-12-01 00:00:00,64,-6.0
debit_card,2018-01-01 00:00:00,109,45.0
debit_card,2018-02-01 00:00:00,69,-40.0
debit_card,2018-03-01 00:00:00,78,9.0
debit_card,2018-04-01 00:00:00,97,19.0
debit_card,2018-05-01 00:00:00,51,-46.0
debit_card,2018-06-01 00:00:00,181,130.0
debit_card,2018-07-01 00:00:00,242,61.0
debit_card,2018-08-01 00:00:00,277,35.0
not_defined,2018-08-01 00:00:00,2,
not_defined,2018-09-01 00:00:00,1,-1.0
UPI,2016-10-01 00:00:00,63,
UPI,2017-01-01 00:00:00,197,134.0
UPI,2017-02-01 00:00:00,398,201.0
UPI,2017-03-01 00:00:00,590,192.0
UPI,2017-04-01 00:00:00,496,-94.0
UPI,2017-05-01 00:00:00,772,276.0
UPI,2017-06-01 00:00:00,707,-65.0
UPI,2017-07-01 00:00:00,845,138.0
UPI,2017-08-01 00:00:00,938,93.0
UPI,2017-09-01 00:00:00,903,-35.0
UPI,2017-10-01 00:00:00,993,90.0
UPI,2017-11-01 00:00:00,1509,516.0
UPI,2017-12-01 00:00:00,1160,-349.0
UPI,2018-01-01 00:00:00,1518,358.0
UPI,2018-02-01 00:00:00,1325,-193.0
UPI,2018-03-01 00:00:00,1352,27.0
UPI,2018-04-01 00:00:00,1287,-65.0
UPI,2018-05-01 00:00:00,1263,-24.0
UPI,2018-06-01 00:00:00,1100,-163.0
UPI,2018-07-01 00:00:00,1229,129.0
UPI,2018-08-01 00:00:00,1139,-90.0
voucher,2016-10-01 00:00:00,11,
voucher,2017-01-01 00:00:00,33,22.0
voucher,2017-02-01 00:00:00,69,36.0
voucher,2017-03-01 00:00:00,123,54.0
voucher,2017-04-01 00:00:00,115,-8.0
voucher,2017-05-01 00:00:00,171,56.0
voucher,2017-06-01 00:00:00,142,-29.0
voucher,2017-07-01 00:00:00,205,63.0
voucher,2017-08-01 00:00:00,198,-7.0
voucher,2017-09-01 00:00:00,174,-24.0
voucher,2017-10-01 00:00:00,208,34.0
voucher,2017-11-01 00:00:00,267,59.0
voucher,2017-12-01 00:00:00,220,-47.0
voucher,2018-01-01 00:00:00,304,84.0
voucher,2018-02-01 00:00:00,219,-85.0
voucher,2018-03-01 00:00:00,272,53.0
voucher,2018-04-01 00:00:00,238,-34.0
voucher,2018-05-01 00:00:00,203,-35.0
voucher,2018-06-01 00:00:00,231,28.0
voucher,2018-07-01 00:00:00,212,-19.0
voucher,2018-08-01 00:00:00,232,20.0
voucher,2018-09-01 00:00:00,15,-217.0
voucher,2018-10-01 00:00:00,4,-11.0
